Airline Name,IATA Designator,3 digit code
ABX Air,GB,832
Aegean Airlines,A3,390
Aer Lingus,EI,53
Aero Mongolia,M0,970
Aero Republica,P5,
Aeroflot,SU,555
Aeroitalia,XZ,419
Aerolineas Argentinas,AR,44
Aeromexico,AM,139
Africa World Airlines,AW,394
Air Algérie,AH,124
Air Arabia,G9,514
Air Astana,KC,465
Air Astra,2A,610
Air Atlanta Icelandic,CC,318
Air Austral,UU,760
Air Baltic,BT,657
Air Botswana,BP,636
Air Cairo,SM,381
Air Caledonie,TY,190
Air Cambodia,K6,188
Air Canada,AC,14
Air Caraibes,TX,427
Air Changan,9H,856
Air China,CA,999
Air Corsica,XK,146
Air Dolomiti,EN,101
Air Europa,UX,996
Air France,AF,57
Air Guilin,GT,730
Air Hong Kong,LD,288
Air India,AI,98
Air India Express,IX,236
Air Koryo,JS,120
Air Macau,NX,675
Air Mauritius,MK,239
Air Montenegro,4O,400
Air New Zealand,NZ,86
Air Niugini,PX,656
Air Nostrum,YW,694
Air Peace,P4,710
Air Premia,YP,350
Air Senegal,HC,490
Air Serbia,JU,115
Air Seychelles,HM,61
Air Tahiti,VT,135
Air Tahiti Nui,TN,244
Air Tanzania,TC,197
Air Transat,TS,649
Air Vanuatu,NF,264
Aircalin,SB,63
Airhub Airlines,RE,521
Airline GEO SKY,D4,330
Airlink,4Z,749
AIRZETA,KJ,994
AJet,VF,204
Akasa Air,QP,516
Alaska Airlines,AS,27
Albastar,AP,
AlMasria Universal Airlines,UJ,110
Amelia,8R,948
American Airlines,AA,1
ANA,NH,205
APG Airlines,GP,275
Arajet,DM,181
Arkia Israeli Airlines,IZ,238
Asiana Airlines,OZ,988
ASKY,KP,32
ASL Airlines Belgium,3V,756
ASL Airlines France,5O,558
ASL Airlines Ireland,5H,914
Atlantic Airways,RC,767
Atlas Air,5Y,369
Austrian,OS,257
Avianca,AV,134
Avianca Costa Rica,LR,133
Avianca Ecuador,2K,547
Avion Express,X9,
Avion Express Malta,4X,
Azerbaijan Airlines,J2,771
Azores Airlines,S4,331
Azul Brazilian Airlines,AD,577
Badr Airlines,J4,367
Bahamasair,UP,111
Bamboo Airways,QH,926
Bangkok Airways,PG,829
Batik Air,ID,938
Batik Air Malaysia,OD,816
BBN Airlines,B5,386
Belavia Belarusian Airlines,B2,
Biman Bangladesh Airlines,BG,997
Binter Canarias,NT,474
Blue Bird Airways,BZ,404
BoA Boliviana de Aviacion,OB,930
Braathens Regional Airways,TF*,276
British Airways,BA,125
Brussels Airlines,SN,82
Bulgaria Air,FB,623
Camair-Co,QC,40
Capital Airlines,JD,898
Cargojet Airways,W8,489
Cargolux,CV,172
Caribbean Airlines,BW,106
Carpatair,V3,21
Cathay Pacific,CX,160
Cebu Pacific,5J,203
CemAir,5Z,225
